"Age","Gender","Dependents","Education","Marital Status","Annual Salary","Card Type","Months of Relationship","Products","Iterations 12m","Number of Months Inactive 12m","Transactions Amount 12m","Transactions 12m","Credit Limit"
56,"M",2,"doutorado","casado","$60K - $80K","blue",45,6,0,2,1741.52,27,2283.59
59,"M",1,"doutorado","casado","$40K - $60K","blue",52,3,2,2,1719.18,27,2548.58
46,"M",3,"ensino medio","casado","$80K - $120K","blue",40,4,3,3,1217.71,27,19458.61
52,"M",1,"graduacao","solteiro","$80K - $120K","blue",40,5,1,1,1140.09,40,4745.36
52,"F",3,"nao informado","casado","menos que $40K","blue",41,6,2,3,1878.14,30,2622.45
54,"F",1,"mestrado","casado","menos que $40K","blue",40,2,1,3,705.59,19,1438.08
66,"F",0,"ensino medio","casado","menos que $40K","blue",54,3,2,4,1946.81,38,3171.17
49,"M",2,"nao informado","casado","$120K +","blue",36,4,0,2,1414.42,35,19763.65
56,"M",2,"mestrado","casado","$120K +","blue",36,1,3,3,602.6,15,15769.34
49,"F",4,"mestrado","nao informado","menos que $40K","blue",36,6,2,4,1052.4,32,3298.68
49,"F",3,"mestrado","solteiro","menos que $40K","blue",36,2,0,2,1295.77,40,2802.32
56,"M",2,"sem educacao formal","casado","$40K - $60K","blue",50,4,3,2,1424.23,29,4458.72
44,"F",5,"mestrado","casado","nao informado","blue",35,4,2,1,1359.02,25,6273.36
42,"M",2,"ensino medio","solteiro","$60K - $80K","blue",34,4,3,4,1168.25,27,3336.16
55,"M",3,"nao informado","casado","$80K - $120K","blue",47,4,3,2,1097.15,33,3436.88
48,"M",2,"mestrado","casado","$60K - $80K","silver",35,2,4,4,691.1,15,34516.6
39,"M",1,"ensino medio","divorciado","$60K - $80K","blue",33,5,3,3,1316.35,28,5926.84
44,"M",4,"doutorado","solteiro","$120K +","blue",32,2,2,4,1276.73,26,23957.43
53,"M",2,"ensino medio","solteiro","$120K +","blue",44,4,2,2,1289.07,23,14734.78
51,"M",4,"sem educacao formal","solteiro","$80K - $120K","silver",38,4,4,1,1293.87,32,34516.43
57,"M",2,"graduacao","casado","$60K - $80K","blue",52,5,3,3,1353.02,35,6585
44,"F",2,"sem educacao formal","solteiro","menos que $40K","blue",20,6,3,3,1132.88,28,2084.4
49,"M",2,"mestrado","casado","$60K - $80K","blue",32,2,2,2,1670.43,17,1687.32
50,"M",2,"doutorado","casado","$80K - $120K","blue",38,6,2,2,837.74,15,25300.81
51,"M",4,"mestrado","solteiro","$120K +","blue",42,3,3,2,1550.71,41,34516.09
55,"F",2,"mestrado","casado","menos que $40K","blue",42,5,3,3,1540.51,36,2216.16
54,"M",1,"mestrado","nao informado","$60K - $80K","blue",43,4,3,2,1256.06,21,2910.05
42,"M",5,"sem educacao formal","casado","$80K - $120K","blue",37,6,2,2,1394.75,35,22913.54
44,"M",1,"graduacao","solteiro","$60K - $80K","blue",35,3,3,3,1341.81,24,24312.55
53,"M",2,"mestrado","solteiro","$80K - $120K","blue",36,5,2,3,1289.65,33,5272.7
44,"F",4,"mestrado","solteiro","menos que $40K","blue",36,6,2,4,1112.55,23,7000.35
37,"F",3,"sem educacao formal","solteiro","menos que $40K","blue",29,4,2,4,2339.31,57,7038.51
49,"M",3,"mestrado","divorciado","$60K - $80K","blue",30,6,2,1,1468.07,23,2536
47,"M",2,"mestrado","casado","$80K - $120K","blue",38,6,2,3,1334.19,35,28904.11
47,"M",3,"mestrado","casado","$60K - $80K","blue",37,4,0,4,1457.17,41,8567.99
44,"M",1,"nao informado","nao informado","$120K +","blue",36,6,2,2,1603.72,29,34516.95
55,"F",4,"nao informado","casado","$40K - $60K","blue",45,2,3,4,615.02,12,2158.57
59,"F",1,"mestrado","casado","nao informado","blue",52,2,3,3,1068.99,20,10133.91
53,"M",1,"mestrado","divorciado","$80K - $120K","blue",35,5,2,4,1590.14,27,34516.4
52,"M",2,"mestrado","casado","$60K - $80K","blue",47,5,0,3,1531.13,35,3085.37
53,"M",2,"ensino medio","solteiro","$120K +","blue",35,4,1,2,1212.09,31,19040.89
43,"F",3,"sem educacao formal","solteiro","menos que $40K","blue",35,5,3,2,1237,32,4026.73
44,"M",3,"ensino medio","solteiro","$60K - $80K","blue",31,4,1,3,1413.28,14,12756.68
57,"M",2,"nao informado","casado","$120K +","blue",45,5,3,3,1516.81,29,5266.9
51,"F",2,"ensino medio","solteiro","menos que $40K","blue",36,3,2,2,1276.14,21,9930.94
49,"M",4,"ensino medio","solteiro","$80K - $120K","blue",38,4,0,3,1564.29,35,31302.28
45,"M",1,"mestrado","solteiro","$40K - $60K","blue",36,4,3,4,1465.89,34,6576.08
53,"M",0,"mestrado","solteiro","$80K - $120K","blue",42,5,1,4,1286.1,29,2664.65
45,"F",3,"nao informado","casado","nao informado","blue",28,5,2,1,1312.66,20,2535.81
64,"M",1,"mestrado","casado","menos que $40K","blue",52,6,3,4,1673.96,32,1709.75
45,"M",3,"mestrado","casado","$40K - $60K","blue",35,5,2,4,1313.57,30,3454.88
53,"M",3,"doutorado","casado","$40K - $60K","blue",35,5,2,3,1609.8,42,3789.07
56,"M",3,"graduacao","casado","$120K +","blue",50,3,0,2,1158.65,19,9689.42
47,"M",2,"nao informado","casado","$80K - $120K","blue",37,2,3,3,836.55,18,5449.1
49,"F",3,"graduacao","solteiro","nao informado","blue",43,4,0,4,1289.53,22,23032.31
41,"F",3,"nao informado","casado","nao informado","silver",34,5,3,3,1487.1,26,34516.81
53,"M",3,"mestrado","casado","$120K +","blue",34,6,2,2,1259.6,33,2940.23
44,"F",2,"mestrado","solteiro","menos que $40K","blue",32,3,3,3,1298.42,15,3031.74
44,"M",3,"ensino medio","nao informado","$60K - $80K","blue",25,3,0,3,1226.76,34,1862.88
43,"F",4,"doutorado","casado","menos que $40K","blue",33,2,3,3,1566.92,37,8358.36
53,"M",2,"doutorado","solteiro","$120K +","blue",36,6,2,1,1022.13,21,34516.7
44,"M",1,"sem educacao formal","casado","$60K - $80K","blue",36,5,3,2,1235.89,30,14450.88
62,"F",1,"nao informado","casado","menos que $40K","blue",56,6,0,0,1951.32,44,1438.56
54,"M",4,"nao informado","divorciado","$120K +","blue",36,6,2,3,1047.44,31,33791.17
57,"M",4,"mestrado","casado","$60K - $80K","blue",39,4,0,3,1342.04,32,8466.12
42,"M",3,"nao informado","casado","$60K - $80K","blue",36,5,3,3,1107.18,21,15088.39
42,"M",4,"ensino medio","divorciado","$60K - $80K","blue",36,5,2,1,1251.05,35,3263.41
54,"F",0,"sem educacao formal","casado","menos que $40K","blue",36,2,2,2,1305.99,24,1494.38
48,"M",3,"mestrado","solteiro","$80K - $120K","blue",35,6,0,1,1388.92,37,13551.14
49,"M",1,"mestrado","solteiro","$80K - $120K","blue",36,6,2,2,1235.27,18,18886.97
52,"M",3,"ensino medio","nao informado","$80K - $120K","blue",48,3,0,2,2089.21,36,11976.88
50,"M",3,"ensino medio","solteiro","$80K - $120K","blue",39,4,4,1,1626.61,25,9964.79
49,"M",1,"doutorado","casado","$60K - $80K","blue",36,4,3,6,1111.64,24,24159.65
53,"F",2,"ensino medio","casado","menos que $40K","blue",44,3,3,2,1553.57,38,5362.37
50,"M",2,"mestrado","solteiro","$120K +","blue",36,3,2,2,1064.06,13,34516.18
55,"F",1,"doutorado","casado","menos que $40K","blue",36,4,0,1,1243.37,29,3174.61
53,"M",1,"ensino medio","casado","$80K - $120K","blue",47,3,2,2,1659.27,38,12262.61
47,"F",3,"ensino medio","solteiro","$40K - $60K","blue",41,4,3,3,1594.63,47,3788.86
55,"M",2,"graduacao","solteiro","$120K +","silver",42,2,2,3,1268.11,42,34516.86
47,"M",3,"mestrado","solteiro","$60K - $80K","blue",36,4,2,2,1304.88,24,2926.27
58,"M",4,"mestrado","solteiro","$120K +","blue",52,6,0,1,1368.9,30,32090.2
53,"M",2,"mestrado","casado","$80K - $120K","blue",41,3,2,3,720.82,23,11669.07
52,"M",2,"ensino medio","solteiro","$40K - $60K","blue",45,3,2,1,1521.78,29,13532.53
50,"F",1,"sem educacao formal","nao informado","menos que $40K","silver",36,4,2,2,1137.25,30,11888.15
42,"F",1,"mestrado","casado","menos que $40K","blue",36,5,2,1,978.8,16,2393.25
43,"M",4,"nao informado","casado","$40K - $60K","blue",39,5,2,1,1221.48,16,6111.13
57,"M",4,"mestrado","casado","$80K - $120K","blue",46,3,3,2,1566,28,19270.57
52,"M",1,"mestrado","casado","$80K - $120K","blue",43,3,4,1,1578.98,34,3710.96
47,"M",2,"doutorado","solteiro","menos que $40K","blue",37,2,3,1,1493.12,32,3235.89
44,"F",3,"mestrado","solteiro","$40K - $60K","blue",38,3,0,1,1178.37,27,11749.97
53,"M",2,"ensino medio","divorciado","$60K - $80K","blue",36,5,2,3,991.23,26,7753.7
45,"M",4,"graduacao","divorciado","$60K - $80K","blue",40,5,0,1,2560.79,42,10408.7
63,"F",1,"graduacao","casado","nao informado","blue",36,6,3,2,1657.84,29,3967.48
39,"F",2,"doutorado","solteiro","menos que $40K","blue",27,4,2,2,1204.63,19,6205.29
48,"F",5,"ensino medio","casado","menos que $40K","blue",38,1,3,3,673.64,18,8025.36
51,"M",1,"nao informado","solteiro","$120K +","blue",42,6,3,2,1131.83,18,9036.63
54,"M",4,"mestrado","casado","$80K - $120K","blue",34,2,2,3,1576.74,25,14926.65
59,"F",1,"mestrado","solteiro","menos que $40K","blue",36,3,3,2,1217.14,20,6335.1
59,"M",1,"graduacao","solteiro","$60K - $80K","blue",53,2,3,3,530.36,10,14979.44
48,"F",4,"sem educacao formal","casado","menos que $40K","blue",38,3,3,2,739.82,16,2732.31
41,"F",2,"mestrado","solteiro","menos que $40K","blue",32,6,2,3,1617.31,31,2250.44
55,"M",2,"mestrado","casado","$120K +","blue",50,3,0,2,1592.13,34,10916.64
47,"F",4,"mestrado","casado","nao informado","blue",36,4,3,1,1343.87,30,5349.05
41,"M",2,"ensino medio","casado","$80K - $120K","blue",24,4,3,1,1303.63,39,9366.58
40,"M",3,"ensino medio","solteiro","$80K - $120K","blue",28,5,0,1,1351.89,22,21617.54
68,"M",1,"mestrado","casado","nao informado","blue",56,5,3,2,1910.36,32,13860.22
50,"F",1,"mestrado","solteiro","$40K - $60K","silver",31,2,3,2,1298.55,22,18386.59
47,"M",4,"sem educacao formal","solteiro","$60K - $80K","blue",41,6,2,2,1087.22,29,2405.01
53,"F",1,"graduacao","casado","menos que $40K","blue",47,4,3,2,1439.28,26,2154.12
42,"F",5,"nao informado","casado","$40K - $60K","blue",36,3,3,3,1238.68,28,2038.4
48,"F",4,"ensino medio","solteiro","$40K - $60K","blue",38,6,3,1,1716.18,29,8135.26
49,"M",1,"doutorado","casado","$120K +","blue",38,6,3,1,1099.88,27,9364.93
44,"F",2,"sem educacao formal","casado","nao informado","silver",35,4,2,3,1058.8,24,32643.83
43,"F",4,"mestrado","divorciado","menos que $40K","blue",34,2,1,3,1285.54,29,3195.43
56,"M",0,"ensino medio","casado","$80K - $120K","blue",43,5,1,2,1651.52,28,2852.61
59,"F",1,"graduacao","solteiro","nao informado","blue",36,2,3,3,1152.5,31,4224.05
46,"M",1,"sem educacao formal","casado","$60K - $80K","blue",36,3,2,2,1767.95,38,20459.84
47,"F",4,"nao informado","divorciado","menos que $40K","blue",41,6,3,5,1039.44,24,3482.22
50,"F",4,"sem educacao formal","casado","$40K - $60K","blue",40,5,3,2,1130.34,28,3065.19
51,"F",3,"sem educacao formal","casado","menos que $40K","blue",43,3,2,1,1645.23,30,2185.8
47,"F",3,"sem educacao formal","casado","menos que $40K","blue",36,4,0,1,1413.06,29,1611.04
58,"F",4,"sem educacao formal","casado","menos que $40K","blue",47,3,3,3,1218.42,23,2822.92
46,"M",5,"mestrado","solteiro","$80K - $120K","blue",33,6,3,3,597.86,17,32975.61
53,"M",3,"ensino medio","casado","$60K - $80K","blue",47,5,2,2,2184.83,53,1438.57
45,"F",4,"sem educacao formal","divorciado","nao informado","blue",36,4,3,3,1592.55,37,15875.61
52,"F",1,"ensino medio","casado","menos que $40K","blue",45,6,3,3,1388.72,28,6703.28
53,"M",2,"nao informado","casado","$80K - $120K","blue",36,2,1,2,757.7,20,3212.38
50,"M",2,"ensino medio","casado","$80K - $120K","silver",45,3,3,1,1504.44,34,34516.22
41,"F",3,"ensino medio","casado","$40K - $60K","blue",36,4,2,1,1503.16,34,9797.65
45,"F",5,"mestrado","divorciado","$40K - $60K","blue",36,5,2,2,1105.44,28,10400.82
53,"M",3,"sem educacao formal","casado","$80K - $120K","blue",42,2,2,1,2398.41,47,26792.84
67,"F",1,"mestrado","casado","menos que $40K","blue",56,4,2,3,1661.15,32,3006
57,"F",2,"sem educacao formal","solteiro","$40K - $60K","silver",36,6,0,3,1421.19,22,19482.96
59,"F",1,"sem educacao formal","casado","$40K - $60K","blue",36,4,3,2,999.47,28,3356.53
45,"M",2,"sem educacao formal","casado","$40K - $60K","blue",34,3,1,2,1387.68,18,5771.6
51,"M",3,"mestrado","casado","$80K - $120K","blue",36,6,3,2,1243.58,24,11106.73
59,"F",1,"sem educacao formal","casado","menos que $40K","blue",54,5,0,3,1860.16,36,2890.26
53,"M",1,"mestrado","casado","$60K - $80K","blue",45,6,2,2,1502.84,25,3380.75
47,"M",3,"mestrado","casado","$60K - $80K","blue",36,2,2,1,1460.6,50,21331.23
49,"F",3,"sem educacao formal","solteiro","nao informado","blue",38,6,1,2,1348.22,27,12860.34
49,"M",3,"doutorado","solteiro","$80K - $120K","blue",33,3,0,1,1087.07,33,6278.72
60,"F",0,"graduacao","solteiro","menos que $40K","blue",55,5,3,1,1226.43,33,1439
50,"F",2,"ensino medio","casado","menos que $40K","blue",36,5,2,1,1230.97,28,9355.72
41,"F",2,"doutorado","casado","nao informado","blue",31,6,3,1,1555.04,32,20758.33
57,"M",1,"mestrado","casado","$80K - $120K","blue",47,5,1,3,1827.87,24,14612.54
43,"M",4,"mestrado","nao informado","$80K - $120K","blue",27,5,0,2,1376.59,35,27259.32
57,"F",3,"mestrado","casado","menos que $40K","blue",47,4,3,2,1771.54,37,6347.04
54,"M",3,"doutorado","casado","$120K +","blue",41,3,0,3,1873.76,52,21592.49
51,"F",5,"doutorado","casado","menos que $40K","blue",44,5,1,1,1679.81,42,3449.71
47,"F",3,"ensino medio","casado","menos que $40K","blue",34,2,2,1,1002.7,22,6028.25
41,"M",0,"ensino medio","nao informado","$120K +","blue",36,3,3,2,1344.32,21,18214.37
53,"M",3,"sem educacao formal","casado","$80K - $120K","blue",43,3,1,3,1461.96,42,16393.47
68,"M",0,"ensino medio","casado","menos que $40K","blue",52,1,2,3,760.47,21,1438.72
59,"M",1,"graduacao","casado","$60K - $80K","blue",36,4,2,1,1428.62,22,7871.3
48,"M",4,"nao informado","casado","$80K - $120K","blue",36,5,0,3,1777.39,42,5288.56
44,"M",5,"mestrado","casado","$60K - $80K","blue",32,4,3,5,1302.61,27,11376.03
48,"M",3,"graduacao","casado","$80K - $120K","blue",41,4,3,5,1483.6,41,12302.46
47,"M",4,"mestrado","casado","$60K - $80K","silver",33,3,1,2,1060.78,27,34516.23
47,"M",2,"mestrado","casado","$60K - $80K","silver",32,4,2,2,1330.44,32,34516.11
43,"F",1,"ensino medio","divorciado","menos que $40K","silver",35,3,2,2,1229.2,27,10514.17
55,"F",2,"mestrado","casado","menos que $40K","blue",43,2,3,4,886.93,27,1438.49
59,"M",2,"doutorado","casado","$60K - $80K","blue",46,3,3,3,844.25,24,1438.61
63,"M",1,"mestrado","casado","$40K - $60K","blue",56,2,2,1,1450.42,37,2619.5
58,"M",2,"graduacao","casado","$120K +","blue",53,2,0,3,2311.68,48,24407.22
53,"F",2,"ensino medio","casado","menos que $40K","blue",36,4,2,1,1378.54,26,2377.87
59,"M",0,"nao informado","nao informado","$80K - $120K","silver",40,3,3,2,1033.29,26,34516.32
52,"M",3,"mestrado","casado","$120K +","blue",47,5,3,3,1523.79,40,11086.88
48,"M",3,"ensino medio","solteiro","$60K - $80K","blue",36,4,2,2,1374.92,37,11432.33
43,"M",4,"ensino medio","casado","$40K - $60K","blue",36,5,2,3,1080.19,21,13258.87
48,"M",2,"graduacao","solteiro","menos que $40K","blue",36,3,3,2,1234.81,24,2571.08
43,"F",4,"mestrado","solteiro","menos que $40K","blue",31,5,0,2,1600.6,32,5781.12
44,"M",4,"nao informado","casado","$60K - $80K","blue",30,5,2,1,1155.16,32,7872.62
41,"M",3,"ensino medio","casado","$80K - $120K","blue",35,6,2,1,1353.8,33,34516.35
44,"F",3,"sem educacao formal","divorciado","menos que $40K","silver",38,4,3,1,1546.08,25,11127.32
50,"M",2,"nao informado","solteiro","$40K - $60K","blue",43,2,3,1,1590.24,43,1857.99
60,"F",1,"sem educacao formal","casado","menos que $40K","blue",36,5,0,1,1448.98,22,1913.52
44,"M",4,"mestrado","solteiro","$80K - $120K","blue",24,5,0,3,1271.61,24,3839.33
48,"F",3,"mestrado","divorciado","$40K - $60K","blue",39,6,3,2,1223.72,20,2115.68
44,"F",2,"mestrado","divorciado","menos que $40K","blue",27,5,2,2,1117.13,29,1438.34
41,"M",2,"ensino medio","solteiro","$80K - $120K","blue",28,4,0,3,994.1,24,27756.93
45,"M",3,"graduacao","solteiro","$60K - $80K","blue",32,4,2,1,1468.3,26,1438.92
47,"F",2,"sem educacao formal","divorciado","menos que $40K","silver",34,6,2,4,1658.13,38,13878.33
51,"F",2,"mestrado","casado","menos que $40K","blue",36,3,3,1,1368.17,38,3106.63
51,"M",2,"mestrado","casado","$120K +","blue",44,4,3,3,1218.41,18,34516.68
60,"F",1,"sem educacao formal","casado","$40K - $60K","blue",50,4,3,4,702.15,12,1438.57
57,"M",2,"nao informado","casado","$80K - $120K","blue",46,2,0,3,1516.99,21,18871.23
41,"M",5,"mestrado","solteiro","$120K +","blue",29,5,2,2,1310.79,26,5207.73
44,"M",3,"doutorado","divorciado","$80K - $120K","blue",36,6,2,2,1767.49,50,17965.69
43,"M",1,"graduacao","solteiro","$60K - $80K","blue",37,6,3,3,933.05,25,2733.26
55,"M",2,"graduacao","casado","$60K - $80K","blue",48,4,2,3,1512.98,27,8863.91
52,"M",1,"sem educacao formal","casado","$80K - $120K","blue",36,2,3,3,829.9,17,1857.31
44,"M",3,"mestrado","nao informado","$80K - $120K","blue",33,3,3,3,1120.71,27,34516.4
41,"M",2,"sem educacao formal","casado","$40K - $60K","blue",30,5,3,3,1506.36,33,11107.94
44,"M",4,"nao informado","solteiro","$80K - $120K","blue",34,4,2,1,1384.44,36,21573.76
53,"F",2,"nao informado","casado","menos que $40K","blue",33,2,3,3,817.64,30,2859.73
39,"M",2,"ensino medio","solteiro","$80K - $120K","blue",36,4,2,2,2094.18,25,5269.71
49,"M",5,"graduacao","casado","$40K - $60K","blue",45,2,3,2,815.11,21,1438.71
45,"F",2,"graduacao","casado","menos que $40K","blue",36,1,2,3,510.16,24,3387.36
54,"M",2,"mestrado","casado","$80K - $120K","blue",46,6,3,2,1377.75,49,1982.76
49,"M",3,"sem educacao formal","solteiro","$80K - $120K","blue",43,2,2,2,1193.5,33,4645.64
46,"F",3,"doutorado","solteiro","nao informado","blue",36,6,2,3,1287.55,36,2189.18
46,"M",4,"ensino medio","casado","$120K +","blue",30,3,3,3,701.37,19,2442.35
47,"M",3,"mestrado","casado","$60K - $80K","blue",38,4,2,1,1770.89,25,21304.91
44,"M",2,"doutorado","solteiro","$60K - $80K","blue",36,5,2,1,1409.86,35,7577.25
50,"M",3,"doutorado","solteiro","$120K +","blue",31,4,2,1,1354.89,28,3234.67
73,"M",0,"ensino medio","casado","$40K - $60K","blue",36,5,2,3,1765.87,34,4469.13
56,"M",3,"nao informado","nao informado","$40K - $60K","blue",46,6,4,3,1192.62,27,2910.9
59,"M",0,"ensino medio","solteiro","$40K - $60K","blue",48,2,3,4,687.81,17,3616.78
70,"M",0,"ensino medio","casado","menos que $40K","blue",56,3,3,2,1227.27,15,3252
55,"F",2,"ensino medio","casado","menos que $40K","blue",36,4,3,3,1737.67,26,2358.65
43,"M",4,"nao informado","solteiro","$60K - $80K","blue",36,4,0,1,1348.37,34,22322.23
45,"M",1,"sem educacao formal","solteiro","$120K +","blue",39,4,2,2,1435.15,38,3133.64
45,"F",2,"sem educacao formal","solteiro","$40K - $60K","blue",35,2,0,3,1321.66,28,3540.83
40,"M",1,"mestrado","casado","$40K - $60K","blue",23,6,2,3,1479.15,29,6990.3
36,"M",2,"graduacao","nao informado","$80K - $120K","blue",22,2,3,2,1283.15,39,34516.27
59,"F",0,"doutorado","casado","$40K - $60K","blue",40,1,1,4,689.19,23,1438.04
43,"M",4,"nao informado","casado","$60K - $80K","blue",35,6,2,3,965.54,17,24396.59
46,"F",1,"nao informado","casado","menos que $40K","blue",36,2,2,3,1541.84,40,2474.33
41,"M",2,"sem educacao formal","casado","$40K - $60K","blue",32,5,3,1,1258.13,23,5214.54
51,"F",2,"mestrado","casado","menos que $40K","blue",46,5,2,2,1339.25,20,5207.14
51,"F",3,"nao informado","nao informado","menos que $40K","blue",25,2,2,2,1007.35,22,9512.92
43,"F",4,"mestrado","divorciado","nao informado","blue",23,6,2,3,1387.1,33,3187.02
64,"F",0,"ensino medio","casado","$40K - $60K","blue",53,1,3,3,960.89,18,3353.71
54,"M",5,"mestrado","casado","$60K - $80K","blue",38,3,3,3,1119.88,18,2290
48,"M",3,"nao informado","solteiro","$40K - $60K","blue",43,6,3,1,1642.1,41,5279.39
40,"M",2,"sem educacao formal","divorciado","$60K - $80K","blue",29,5,0,3,1382.43,31,23603.57
57,"M",0,"sem educacao formal","casado","$40K - $60K","blue",45,6,2,2,1232.15,32,2601.63
45,"M",4,"mestrado","solteiro","$80K - $120K","blue",40,4,0,3,1542.87,16,6363.6
41,"M",3,"ensino medio","solteiro","$80K - $120K","blue",36,4,3,3,1094.01,32,8029.36
42,"F",4,"sem educacao formal","casado","menos que $40K","blue",31,2,2,2,1217.56,30,2410.63
45,"M",2,"mestrado","solteiro","$60K - $80K","blue",36,1,2,1,744.28,18,3401.34
42,"F",4,"sem educacao formal","casado","menos que $40K","blue",23,4,0,2,1614.08,33,2260.02
47,"M",4,"sem educacao formal","divorciado","$80K - $120K","blue",30,5,2,2,1747.49,31,17682.03
48,"F",4,"ensino medio","casado","$40K - $60K","blue",42,3,3,1,1144.35,22,4206.65
43,"M",1,"mestrado","solteiro","$80K - $120K","silver",37,4,2,3,1575.13,34,34516.15
41,"M",4,"ensino medio","nao informado","$80K - $120K","blue",36,4,0,3,1463.12,24,23018.42
54,"F",1,"sem educacao formal","casado","$40K - $60K","blue",44,5,3,2,1706.57,21,5556.64
54,"F",2,"ensino medio","casado","nao informado","blue",44,3,1,3,909.43,14,6094.27
61,"M",0,"mestrado","casado","$40K - $60K","blue",52,3,2,1,2434.79,33,2939.87
61,"M",0,"sem educacao formal","casado","$80K - $120K","blue",48,2,0,1,1876.13,41,5362.12
48,"M",2,"ensino medio","casado","$120K +","blue",36,3,3,3,1000.75,25,27126.02
45,"F",4,"mestrado","solteiro","menos que $40K","blue",36,6,2,3,1139.19,30,3342.44
54,"F",4,"mestrado","casado","nao informado","blue",40,6,2,2,799.6,21,2532.68
54,"F",3,"doutorado","casado","nao informado","blue",46,2,3,2,1881.8,45,1900.47
